Delta_1,Delta_2,m1,m2,e_vumps,dqpt,times
0.3,0.9,1.0,0.1,-0.189344369068,0,[]
-0.4,0.5,0.5,0.5,-0.363149564281,0,[]
-0.4,-0.9,0.1,0.1,-0.467708629776,0,[]
-0.4,0.9,0.1,0.1,-0.171193744997,1,[4.34]
0.4,-0.9,0.1,0.1,-0.423828473095,0,[]
0.4,0.9,0.1,0.1,-0.216930606261,0,[]
-0.4,-0.9,0.2,0.1,-0.457753304308,0,[]
-0.4,0.9,0.2,0.1,-0.186243303912,0,[]
0.4,-0.9,0.2,0.1,-0.399189547054,0,[]
0.4,0.9,0.2,0.1,-0.221791598819,0,[]
-0.4,-0.9,0.3,0.1,-0.441413045651,0,[]
-0.4,0.9,0.3,0.1,-0.199388092188,0,[]
0.4,-0.9,0.3,0.1,-0.373309037521,0,[]
0.4,0.9,0.3,0.1,-0.221898322025,0,[]
-0.4,-0.9,0.4,0.1,-0.421389611298,0,[]
-0.4,0.9,0.4,0.1,-0.208813938156,0,[]
0.4,-0.9,0.4,0.1,-0.348684414644,0,[]
0.4,0.9,0.4,0.1,-0.219269586618,0,[]
-0.4,-0.9,0.5,0.1,-0.399585727123,0,[]
-0.4,0.9,0.5,0.1,-0.214404794684,0,[]
0.4,-0.9,0.5,0.1,-0.326059587939,0,[]
0.4,0.9,0.5,0.1,-0.215015293724,0,[]
-0.4,-0.9,0.6,0.1,-0.377324041326,0,[]
-0.4,0.9,0.6,0.1,-0.216685994431,0,[]
0.4,0.9,0.6,0.1,-0.209831476201,0,[]
-0.4,-0.9,0.7,0.1,-0.355498842549,0,[]
-0.4,0.9,0.7,0.1,-0.216356161927,0,[]
0.4,0.9,0.7,0.1,-0.204171213592,0,[]
-0.4,-0.9,0.8,0.1,-0.334680585487,0,[]
-0.4,0.9,0.8,0.1,-0.214093013382,0,[]
0.4,-0.9,0.8,0.1,-0.270774760055,1,"[4.56,5.82,7.65,8.34,8.50,8.71]"
0.4,0.9,0.8,0.1,-0.198330806165,0,[]
-0.4,-0.9,0.9,0.1,-0.315196877164,1,"[7.80,8.16,8.25]"
-0.4,0.9,0.9,0.1,-0.210479220813,0,[]
0.4,-0.9,0.9,0.1,-0.25606077986,1,"[4.56,5.93,7.67,8.35,8.49,8.71,8.75,8.83]"
-0.4,0.9,0.0,0.1,-0.159732729765,1,[4.43]
-0.4,-0.9,1.1,0.1,-0.280721871222,1,"[4.59,5.72,7.67,8.32,8.55,8.60]"
-0.4,0.9,1.1,0.1,-0.200959603257,0,[]
0.4,-0.9,1.1,0.1,-0.231063491751,1,"[4.77,6.07,7.75,8.19,8.80,8.85,9.03]"
0.4,0.9,1.1,0.1,-0.181312847943,0,[]
-0.4,-0.9,1.2,0.1,-0.26571883239,1,"[4.57,5.85,7.68,8.30,8.51,8.74]"
-0.4,0.9,1.2,0.1,-0.19567356002,0,[]
0.4,-0.9,1.2,0.1,-0.220431745424,1,"[4.94,6.12,7.83,8.14,8.85,8.91,9.05,9.12]"
-0.4,-0.9,1.3,0.1,-0.252102492594,1,"[4.61,5.95,7.71,8.35,8.54,8.81,8.89]"
-0.4,0.9,1.3,0.1,-0.190310455296,0,[]
0.4,-0.9,1.3,0.1,-0.21084296354,1,"[5.10,6.16,8.88,8.94,9.05,9.17]"
