t,r0,r1,r2
4.15,0.200795773770433,0.205031116870714,0.205368559556469
4.16,0.200448151463567,0.204704787113094,0.205029475657682
4.17,0.200104017298687,0.204381950517906,0.204693753317381
4.18,0.199763145136853,0.204062278134288,0.20436119054009
4.19,0.199425306734781,0.20374543906477,0.204031585458689
4.2,0.199090271921701,0.20343110140444,0.203704736351946
4.21,0.198757808813718,0.203118933575767,0.203380441287419
4.22,0.198427684034791,0.202808606236825,0.20305849713841
4.23,0.198099662973701,0.202499795222559,0.202738697538349
4.24,0.197773510049217,0.202192185919418,0.202420829410538
4.25,0.197448989012066,0.201885479434936,0.202104667635024
4.26,0.197125863263285,0.201579400425048,0.201789968057703
4.27,0.196803896198699,0.201273705382774,0.201476459995287
4.28,0.196482851576584,0.200968188709149,0.201163840926717
4.29,0.196162493902717,0.200662682684533,0.200851777289975
4.3,0.195842588851202,0.20035704740075,0.2005399152716
4.31,0.195522903684311,0.200051148709496,0.200227903584914
4.32,0.195203207708103,0.199744825365372,0.19991542703835
4.33,0.194883272735404,0.199437850886857,0.1996022454114
4.34,0.194562873564074,0.199129903583632,0.199288224079642
4.35,0.1942417884648,0.198820569285351,0.198973332055581
4.36,0.193919799675636,0.198509398230372,0.198657585743835
4.37,0.193596693898468,0.198195996942564,0.198340957825622
4.38,0.193272262781627,0.197880091761576,0.198023314342817
4.39,0.192946303423639,0.197561525491831,0.197704418777544
4.4,0.192618618833222,0.197240212361284,0.197383977756047
4.41,0.192289018394353,0.196916093680994,0.197061685981161
4.42,0.191957318294477,0.196589112003046,0.196737252655016
4.43,0.191623341937471,0.196259201274343,0.196410411940187
4.44,0.191286920317012,0.195926285681187,0.196080924559903
4.45,0.190947892369072,0.195590282030538,0.195748575859401
4.46,0.190606105263609,0.195251103005369,0.195413172971327
4.47,0.190261414680709,0.19490866024863,0.195074541965878
4.48,0.189913685024551,0.194562866899615,0.194732525611427
4.49,0.1895627895988,0.194213639596288,0.19438698149245
4.5,0.189208610739558,0.193860899970495,0.194037780596733
4.51,0.188851039898696,0.193504575734879,0.193684806209076
4.52,0.188489977682664,0.193144601446665,0.193327953074097
4.53,0.188125333839525,0.192780919022719,0.192967126733741
4.54,0.187757027227993,0.192413478018746,0.192602242971664
4.55,0.187384985720033,0.192042235788256,0.19223322740465
4.56,0.187009146080213,0.191667157481749,0.19186001509457
4.57,0.186629453812127,0.191288215958712,0.191482550238777
4.58,0.186245862967069,0.190905391618153,0.191100785885943
4.59,0.185858335936587,0.190518672151765,0.190714683664002
4.6,0.185466843221676,0.190128052301882,0.190324213529164
4.61,0.185071363176815,0.189733533513889,0.189929353532571
4.62,0.184671881739276,0.18933512362699,0.189530089587757
4.63,0.18426839216329,0.188932836537434,0.189126415225445
4.64,0.183860894737409,0.188526691827614,0.188718331357503
4.65,0.183449396491141,0.188116714440801,0.188305846083777
4.66,0.18303391090991,0.187702934333802,0.18788897440381
4.67,0.182614457652053,0.187285386156355,0.187467738045779
4.68,0.182191062267165,0.18686410893152,0.18704216518423
4.69,0.181763755922353,0.186439145768965,0.186612290239659
4.7,0.181332575135554,0.186010543580845,0.1861781536303
4.71,0.180897561517472,0.185578352830891,0.185739801558066
4.72,0.180458761524232,0.185142627291606,0.185297285775014
4.73,0.180016226219722,0.184703423825721,0.184850663357376
4.74,0.17957001104758,0.184260802192643,0.184399996486731
4.75,0.179120175614236,0.183814824853369,0.183945352235683
4.76,0.178666783492142,0.183365556806842,0.183486802348356
4.77,0.178209902003061,0.182913065448929,0.183024423044888
4.78,0.177749602053752,0.182457420403726,0.182558294793326
4.79,0.177285957945213,0.18199869342192,0.182088502136772
4.8,0.17681904720662,0.181536958247177,0.181615133475867
4.81,0.176348950428732,0.181072290505904,0.181138280895201
4.82,0.175875751114258,0.180604767606877,0.18065803997121
4.83,0.175399535525625,0.180134468639794,0.180174509590077
4.84,0.174920392539965,0.179661474282638,0.179687791773958
4.85,0.174438413512613,0.17918586671407,0.179197991506638
4.86,0.173953692140916,0.178705216566964,0.178707729527311
4.87,0.173466324333588,0.178209577359452,0.178227147649953
4.88,0.172976408087188,0.177711186762191,0.177744207255728
4.89,0.172484043353572,0.177210159955398,0.177258995706606
4.9,0.171989331932754,0.176706614276862,0.176771601467955
4.91,0.171492377350206,0.176200669063304,0.176282114029869
4.92,0.17099328473912,0.175692445497161,0.175790623855268
4.93,0.170492160729342,0.175182066462587,0.175297222304766
4.94,0.169989113338849,0.174669656396061,0.174802001580503
4.95,0.169484251869377,0.174155341141171,0.174305054660883
4.96,0.16897768679846,0.173639247804812,0.173806475253796
4.97,0.168469529674193,0.173121504611373,0.173306357729124
4.98,0.167959893021046,0.172602240778948,0.172804797083512
4.99,0.167448890233923,0.172081586345721,0.172301888893984
5.0,0.166936635490166,0.171559672068252,0.17179772925459
5.01,0.166423243642648,0.171036629263991,0.171292414768338
5.02,0.165908830137789,0.170512589681798,0.170786042479095
5.03,0.165393510915818,0.169987685372346,0.170278709855126
5.04,0.164877402325965,0.169462048545077,0.169770514757184
5.05,0.164360621033429,0.168935811456422,0.169261555391157
5.06,0.16384328393954,0.168409106270942,0.1687519302946
5.07,0.163325508089919,0.167882064938465,0.168241738308592
5.08,0.162807410594163,0.167354819077341,0.167731078545677
5.09,0.162289108547719,0.166827499853963,0.167220050369331
5.1,0.161770718949174,0.166300237878068,0.166708753373283
5.11,0.161252358624601,0.165773163074269,0.166197287350254
5.12,0.160734144155431,0.165246404602619,0.165685752268328
5.13,0.160216191804852,0.164720090736724,0.165174248275263
5.14,0.15969861744935,0.164194348786648,0.164662875633812
5.15,0.1591815365126,0.163669305007049,0.164151734721642
5.16,0.158665063905553,0.163145084509115,0.163640926037499
5.17,0.158149313972214,0.162621811208117,0.163130550125002
