m1,Delta_1,e
0.7,0.4,-0.4282389963054763
0.7,0.5,-0.425798581557106
0.7,0.6,-0.4232764591904128
0.7,0.7,-0.4206979827293023
0.7,0.8,-0.41808498790132526
0.7,0.9,-0.4154561042409207
0.7,0.0,-0.4365354131791184
0.8,-0.1,-0.43366555169830945
0.8,-0.2,-0.43540956487785043
0.8,-0.3,-0.43687842153458634
0.8,-0.4,-0.4380110008560121
0.8,-0.5,-0.43873033946042833
0.8,-0.6,-0.4389314435234045
0.8,-0.7,-0.43845349124515837
0.8,-0.8,-0.43701037745078725
0.8,-0.9,-0.4339925881318652
0.8,0.1,-0.4295487461705172
0.8,0.2,-0.4272575929112416
0.8,0.3,-0.42485694822667497
0.8,0.4,-0.42237552597062633
0.8,0.5,-0.4198381638915899
0.8,0.6,-0.4172662014762516
0.8,0.7,-0.4146778265384629
0.8,0.8,-0.4120884029764418
0.8,0.9,-0.4095107825527672
0.8,0.0,-0.43169737604827796
0.9,-0.1,-0.42862873298005716
0.9,-0.2,-0.43074154755356003
0.9,-0.3,-0.43267344863333723
0.9,-0.4,-0.4343785953500422
0.9,-0.5,-0.4358011955618149
0.9,-0.6,-0.436869770211569
0.9,-0.7,-0.4374847348585018
0.9,-0.8,-0.43748920726970314
0.9,-0.9,-0.4365926490473519
0.9,0.1,-0.4240097796902807
0.9,0.2,-0.4215653812579793
0.9,0.3,-0.41906509606344944
0.9,0.4,-0.41652993246922493
0.9,0.5,-0.4139777615993003
0.9,0.6,-0.4114236701888604
0.9,0.7,-0.4088802825702557
0.9,0.8,-0.40635805712576983
0.9,0.9,-0.40386555880878305
0.9,0.0,-0.42637374805132927
0.0,-0.1,-0.40396842286845114
0.0,-0.2,-0.39814905857136956
0.0,-0.3,-0.3914086497781471
0.0,-0.4,-0.3835680810487366
0.0,-0.5,-0.37436481094412294
0.0,-0.6,-0.3633884927619985
0.0,-0.7,-0.34993227849429026
0.0,-0.8,-0.33257001529356195
